"cod_com","nom_com","cod_pro","nom_pro","cod_reg","nom_reg"
"01101","IQUIQUE","011","IQUIQUE","01","REGIÓN DE TARAPACÁ"
"01107","ALTO HOSPICIO","011","IQUIQUE","01","REGIÓN DE TARAPACÁ"
"01401","POZO ALMONTE","014","TAMARUGAL","01","REGIÓN DE TARAPACÁ"
"01402","CAMIÑA","014","TAMARUGAL","01","REGIÓN DE TARAPACÁ"
"01403","COLCHANE","014","TAMARUGAL","01","REGIÓN DE TARAPACÁ"
"01404","HUARA","014","TAMARUGAL","01","REGIÓN DE TARAPACÁ"
"01405","PICA","014","TAMARUGAL","01","REGIÓN DE TARAPACÁ"
"02101","ANTOFAGASTA","021","ANTOFAGASTA","02","REGIÓN DE ANTOFAGASTA"
"02102","MEJILLONES","021","ANTOFAGASTA","02","REGIÓN DE ANTOFAGASTA"
"02103","SIERRA GORDA","021","ANTOFAGASTA","02","REGIÓN DE ANTOFAGASTA"
"02104","TALTAL","021","ANTOFAGASTA","02","REGIÓN DE ANTOFAGASTA"
"02201","CALAMA","022","EL LOA","02","REGIÓN DE ANTOFAGASTA"
"02202","OLLAGÜE","022","EL LOA","02","REGIÓN DE ANTOFAGASTA"
"02203","SAN PEDRO DE ATACAMA","022","EL LOA","02","REGIÓN DE ANTOFAGASTA"
"02301","TOCOPILLA","023","TOCOPILLA","02","REGIÓN DE ANTOFAGASTA"
"02302","MARÍA ELENA","023","TOCOPILLA","02","REGIÓN DE ANTOFAGASTA"
"03101","COPIAPÓ","031","COPIAPÓ","03","REGIÓN DE ATACAMA"
"03102","CALDERA","031","COPIAPÓ","03","REGIÓN DE ATACAMA"
"03103","TIERRA AMARILLA","031","COPIAPÓ","03","REGIÓN DE ATACAMA"
"03201","CHAÑARAL","032","CHAÑARAL","03","REGIÓN DE ATACAMA"
"03202","DIEGO DE ALMAGRO","032","CHAÑARAL","03","REGIÓN DE ATACAMA"
"03301","VALLENAR","033","HUASCO","03","REGIÓN DE ATACAMA"
"03302","ALTO DEL CARMEN","033","HUASCO","03","REGIÓN DE ATACAMA"
"03303","FREIRINA","033","HUASCO","03","REGIÓN DE ATACAMA"
"03304","HUASCO","033","HUASCO","03","REGIÓN DE ATACAMA"
"04101","LA SERENA","041","ELQUI","04","REGIÓN DE COQUIMBO"
"04102","COQUIMBO","041","ELQUI","04","REGIÓN DE COQUIMBO"
"04103","ANDACOLLO","041","ELQUI","04","REGIÓN DE COQUIMBO"
"04104","LA HIGUERA","041","ELQUI","04","REGIÓN DE COQUIMBO"
"04105","PAIGUANO","041","ELQUI","04","REGIÓN DE COQUIMBO"
"04106","VICUÑA","041","ELQUI","04","REGIÓN DE COQUIMBO"
"04201","ILLAPEL","042","CHOAPA","04","REGIÓN DE COQUIMBO"
"04202","CANELA","042","CHOAPA","04","REGIÓN DE COQUIMBO"
"04203","LOS VILOS","042","CHOAPA","04","REGIÓN DE COQUIMBO"
"04204","SALAMANCA","042","CHOAPA","04","REGIÓN DE COQUIMBO"
"04301","OVALLE","043","LIMARÍ","04","REGIÓN DE COQUIMBO"
"04302","COMBARBALÁ","043","LIMARÍ","04","REGIÓN DE COQUIMBO"
"04303","MONTE PATRIA","043","LIMARÍ","04","REGIÓN DE COQUIMBO"
"04304","PUNITAQUI","043","LIMARÍ","04","REGIÓN DE COQUIMBO"
"04305","RÍO HURTADO","043","LIMARÍ","04","REGIÓN DE COQUIMBO"
"05101","VALPARAÍSO","051","VALPARAÍSO","05","REGIÓN DE VALPARAÍSO"
"05102","CASABLANCA","051","VALPARAÍSO","05","REGIÓN DE VALPARAÍSO"
"05103","CONCÓN","051","VALPARAÍSO","05","REGIÓN DE VALPARAÍSO"
"05105","PUCHUNCAVÍ","051","VALPARAÍSO","05","REGIÓN DE VALPARAÍSO"
"05107","QUINTERO","051","VALPARAÍSO","05","REGIÓN DE VALPARAÍSO"
"05109","VIÑA DEL MAR","051","VALPARAÍSO","05","REGIÓN DE VALPARAÍSO"
"05301","LOS ANDES","053","LOS ANDES","05","REGIÓN DE VALPARAÍSO"
"05302","CALLE LARGA","053","LOS ANDES","05","REGIÓN DE VALPARAÍSO"
"05303","RINCONADA","053","LOS ANDES","05","REGIÓN DE VALPARAÍSO"
"05304","SAN ESTEBAN","053","LOS ANDES","05","REGIÓN DE VALPARAÍSO"
"05401","LA LIGUA","054","PETORCA","05","REGIÓN DE VALPARAÍSO"
"05402","CABILDO","054","PETORCA","05","REGIÓN DE VALPARAÍSO"
"05403","PAPUDO","054","PETORCA","05","REGIÓN DE VALPARAÍSO"
"05404","PETORCA","054","PETORCA","05","REGIÓN DE VALPARAÍSO"
"05405","ZAPALLAR","054","PETORCA","05","REGIÓN DE VALPARAÍSO"
"05501","QUILLOTA","055","QUILLOTA","05","REGIÓN DE VALPARAÍSO"
"05502","CALERA","055","QUILLOTA","05","REGIÓN DE VALPARAÍSO"
"05503","HIJUELAS","055","QUILLOTA","05","REGIÓN DE VALPARAÍSO"
"05504","LA CRUZ","055","QUILLOTA","05","REGIÓN DE VALPARAÍSO"
"05506","NOGALES","055","QUILLOTA","05","REGIÓN DE VALPARAÍSO"
"05601","SAN ANTONIO","056","SAN ANTONIO","05","REGIÓN DE VALPARAÍSO"
"05602","ALGARROBO","056","SAN ANTONIO","05","REGIÓN DE VALPARAÍSO"
"05603","CARTAGENA","056","SAN ANTONIO","05","REGIÓN DE VALPARAÍSO"
"05604","EL QUISCO","056","SAN ANTONIO","05","REGIÓN DE VALPARAÍSO"
"05605","EL TABO","056","SAN ANTONIO","05","REGIÓN DE VALPARAÍSO"
"05606","SANTO DOMINGO","056","SAN ANTONIO","05","REGIÓN DE VALPARAÍSO"
"05701","SAN FELIPE","057","SAN FELIPE DE ACONCAGUA","05","REGIÓN DE VALPARAÍSO"
"05702","CATEMU","057","SAN FELIPE DE ACONCAGUA","05","REGIÓN DE VALPARAÍSO"
"05703","LLAILLAY","057","SAN FELIPE DE ACONCAGUA","05","REGIÓN DE VALPARAÍSO"
"05704","PANQUEHUE","057","SAN FELIPE DE ACONCAGUA","05","REGIÓN DE VALPARAÍSO"
"05705","PUTAENDO","057","SAN FELIPE DE ACONCAGUA","05","REGIÓN DE VALPARAÍSO"
"05706","SANTA MARÍA","057","SAN FELIPE DE ACONCAGUA","05","REGIÓN DE VALPARAÍSO"
"05801","QUILPUÉ","058","MARGA MARGA","05","REGIÓN DE VALPARAÍSO"
"05802","LIMACHE","058","MARGA MARGA","05","REGIÓN DE VALPARAÍSO"
"05803","OLMUÉ","058","MARGA MARGA","05","REGIÓN DE VALPARAÍSO"
"05804","VILLA ALEMANA","058","MARGA MARGA","05","REGIÓN DE VALPARAÍSO"
"06101","RANCAGUA","061","CACHAPOAL","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06102","CODEGUA","061","CACHAPOAL","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06103","COINCO","061","CACHAPOAL","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06104","COLTAUCO","061","CACHAPOAL","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06105","DOÑIHUE","061","CACHAPOAL","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06106","GRANEROS","061","CACHAPOAL","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06107","LAS CABRAS","061","CACHAPOAL","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06108","MACHALÍ","061","CACHAPOAL","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06109","MALLOA","061","CACHAPOAL","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06110","MOSTAZAL","061","CACHAPOAL","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06111","OLIVAR","061","CACHAPOAL","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06112","PEUMO","061","CACHAPOAL","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06113","PICHIDEGUA","061","CACHAPOAL","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06114","QUINTA DE TILCOCO","061","CACHAPOAL","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06115","RENGO","061","CACHAPOAL","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06116","REQUÍNOA","061","CACHAPOAL","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06117","SAN VICENTE","061","CACHAPOAL","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06201","PICHILEMU","062","CARDENAL CARO","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06202","LA ESTRELLA","062","CARDENAL CARO","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06203","LITUECHE","062","CARDENAL CARO","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06204","MARCHIHUE","062","CARDENAL CARO","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06205","NAVIDAD","062","CARDENAL CARO","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06206","PAREDONES","062","CARDENAL CARO","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06301","SAN FERNANDO","063","COLCHAGUA","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06302","CHÉPICA","063","COLCHAGUA","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06303","CHIMBARONGO","063","COLCHAGUA","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06304","LOLOL","063","COLCHAGUA","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06305","NANCAGUA","063","COLCHAGUA","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06306","PALMILLA","063","COLCHAGUA","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06307","PERALILLO","063","COLCHAGUA","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06308","PLACILLA","063","COLCHAGUA","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06309","PUMANQUE","063","COLCHAGUA","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"06310","SANTA CRUZ","063","COLCHAGUA","06","REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"07101","TALCA","071","TALCA","07","REGIÓN DEL MAULE"
"07102","CONSTITUCIÓN","071","TALCA","07","REGIÓN DEL MAULE"
"07103","CUREPTO","071","TALCA","07","REGIÓN DEL MAULE"
"07104","EMPEDRADO","071","TALCA","07","REGIÓN DEL MAULE"
"07105","MAULE","071","TALCA","07","REGIÓN DEL MAULE"
"07106","PELARCO","071","TALCA","07","REGIÓN DEL MAULE"
"07107","PENCAHUE","071","TALCA","07","REGIÓN DEL MAULE"
"07108","RÍO CLARO","071","TALCA","07","REGIÓN DEL MAULE"
"07109","SAN CLEMENTE","071","TALCA","07","REGIÓN DEL MAULE"
"07110","SAN RAFAEL","071","TALCA","07","REGIÓN DEL MAULE"
"07201","CAUQUENES","072","CAUQUENES","07","REGIÓN DEL MAULE"
"07202","CHANCO","072","CAUQUENES","07","REGIÓN DEL MAULE"
"07203","PELLUHUE","072","CAUQUENES","07","REGIÓN DEL MAULE"
"07301","CURICÓ","073","CURICÓ","07","REGIÓN DEL MAULE"
"07302","HUALAÑÉ","073","CURICÓ","07","REGIÓN DEL MAULE"
"07303","LICANTÉN","073","CURICÓ","07","REGIÓN DEL MAULE"
"07304","MOLINA","073","CURICÓ","07","REGIÓN DEL MAULE"
"07305","RAUCO","073","CURICÓ","07","REGIÓN DEL MAULE"
"07306","ROMERAL","073","CURICÓ","07","REGIÓN DEL MAULE"
"07307","SAGRADA FAMILIA","073","CURICÓ","07","REGIÓN DEL MAULE"
"07308","TENO","073","CURICÓ","07","REGIÓN DEL MAULE"
"07309","VICHUQUÉN","073","CURICÓ","07","REGIÓN DEL MAULE"
"07401","LINARES","074","LINARES","07","REGIÓN DEL MAULE"
"07402","COLBÚN","074","LINARES","07","REGIÓN DEL MAULE"
"07403","LONGAVÍ","074","LINARES","07","REGIÓN DEL MAULE"
"07404","PARRAL","074","LINARES","07","REGIÓN DEL MAULE"
"07405","RETIRO","074","LINARES","07","REGIÓN DEL MAULE"
"07406","SAN JAVIER","074","LINARES","07","REGIÓN DEL MAULE"
"07407","VILLA ALEGRE","074","LINARES","07","REGIÓN DEL MAULE"
"07408","YERBAS BUENAS","074","LINARES","07","REGIÓN DEL MAULE"
"08101","CONCEPCIÓN","081","CONCEPCIÓN","08","REGIÓN DEL BIOBÍO"
"08102","CORONEL","081","CONCEPCIÓN","08","REGIÓN DEL BIOBÍO"
"08103","CHIGUAYANTE","081","CONCEPCIÓN","08","REGIÓN DEL BIOBÍO"
"08104","FLORIDA","081","CONCEPCIÓN","08","REGIÓN DEL BIOBÍO"
