,Years,nom_com,#empresas,ventas_UF,cod_com
0,2005,ALGARROBO,610,938578.61,5602
1,2005,ALHUÉ,228,411622.86,13502
2,2005,ALTO BIOBÍO,36,14785.3,8314
3,2005,ALTO DEL CARMEN,377,279450.73,3302
4,2005,ALTO HOSPICIO,1329,2483255.14,1107
5,2005,ANCUD,2704,8842543.58,10202
6,2005,ANDACOLLO,330,3181558.72,4103
7,2005,ANGOL,2420,8439567.93,9201
8,2005,ANTOFAGASTA,15082,148892248.41,2101
9,2005,ANTUCO,127,58662.55,8302
10,2005,ARAUCO,1604,23074006.66,8202
11,2005,ARICA,12670,26970111.08,15101
12,2005,AYSÉN,1346,6250464.62,11201
13,2005,BUIN,3463,25713716.64,13402
14,2005,BULNES,1148,2486522.11,16102
15,2005,CABILDO,1402,2435892.73,5402
16,2005,CABO DE HORNOS,87,344660.22,12201
17,2005,CABRERO,1075,3221785.58,8303
18,2005,CALAMA,6351,46613249.510000005,2201
19,2005,CALBUCO,968,3635985.1,10102
20,2005,CALDERA,803,2417802.9699999997,3102
21,2005,CALERA,2962,12364507.49,5502
22,2005,CALERA DE TANGO,1050,4611158.48,13403
23,2005,CALLE LARGA,501,950636.35,5302
24,2005,CAMARONES,45,3735.25,15102
25,2005,CAMIÑA,49,8673.0,1402
26,2005,CANELA,343,217798.2,4202
27,2005,CARAHUE,894,847303.1,9102
28,2005,CARTAGENA,1093,1105587.95,5603
29,2005,CASABLANCA,1312,32629470.970000003,5102
30,2005,CASTRO,2594,9718100.459999999,10201
31,2005,CATEMU,697,677766.05,5702
32,2005,CAUQUENES,2899,3167213.41,7201
33,2005,CAÑETE,1519,2600808.96,8203
34,2005,CERRILLOS,3133,70531339.58,13102
35,2005,CERRO NAVIA,4168,8221657.5,13103
36,2005,CHAITÉN,317,238155.1,10401
37,2005,CHANCO,375,305270.68000000005,7202
38,2005,CHAÑARAL,779,2757570.88,3201
39,2005,CHIGUAYANTE,2355,3804668.57,8103
40,2005,CHILE CHICO,304,273981.23000000004,11401
41,2005,CHILLÁN,10082,36246121.03,16101
42,2005,CHILLÁN VIEJO,622,1240752.07,16103
43,2005,CHIMBARONGO,2317,3347397.96,6303
44,2005,CHOLCHOL,53,36747.41,9121
45,2005,CHONCHI,593,12373799.25,10203
46,2005,CHÉPICA,978,924517.7999999999,6302
47,2005,CISNES,369,290953.65,11202
48,2005,COBQUECURA,148,115418.81999999999,16202
49,2005,COCHAMÓ,158,66236.64,10103
50,2005,COCHRANE,184,188454.36000000002,11301
51,2005,CODEGUA,487,1003439.46,6102
52,2005,COELEMU,973,1834702.24,16203
53,2005,COIHUECO,1191,1583535.19,16302
54,2005,COINCO,379,406809.19,6103
55,2005,COLBÚN,1085,854355.65,7402
56,2005,COLCHANE,24,0.0,1403
57,2005,COLINA,3053,39356103.8,13301
58,2005,COLLIPULLI,938,1283782.24,9202
59,2005,COLTAUCO,849,3744117.28,6104
60,2005,COMBARBALÁ,552,511895.86000000004,4302
61,2005,CONCEPCIÓN,18008,101094252.75,8101
62,2005,CONCHALÍ,5157,70480183.46000001,13104
63,2005,CONCÓN,1512,193994065.29000002,5103
64,2005,CONSTITUCIÓN,2548,15891013.790000001,7102
65,2005,CONTULMO,224,251733.22000000003,8204
66,2005,COPIAPÓ,6627,75269635.08,3101
67,2005,COQUIMBO,7759,23740730.54,4102
68,2005,CORONEL,3416,29551890.66,8102
69,2005,CORRAL,163,127550.47,14102
70,2005,COYHAIQUE,3376,10410428.34,11101
71,2005,CUNCO,748,1087262.58,9103
72,2005,CURACAUTÍN,1164,982203.88,9203
73,2005,CURACAVÍ,1444,2452187.92,13503
